Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 4-17-2021 12:56PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  main.ngd
output file: main_pad.csv
Part type:   xc2c256
Speed grade: -7
Package:     tq144

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,,VCC,VCC,,,,,,,,,,
P2,Seg1<3>,O,I/O/GTS2,OUTPUT,LVCMOS33,2,,FAST,,,,
P3,Seg1<2>,O,I/O/GTS3,OUTPUT,LVCMOS33,2,,FAST,,,,
P4,Seg1<1>,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P5,Seg1<0>,O,I/O/GTS0,OUTPUT,LVCMOS33,2,,FAST,,,,
P6,KPR,,I/O/GTS1,,,2,,,,,,,
P7,KPR,,I/O,,,2,,,,,,,
P8,,VCCAUX,VAUX,,,,,,,,,,
P9,KPR,,I/O,,,2,,,,,,,
P10,KPR,,I/O,,,2,,,,,,,
P11,KPR,,I/O,,,2,,,,,,,
P12,KPR,,I/O,,,2,,,,,,,
P13,KPR,,I/O,,,2,,,,,,,
P14,KPR,,I/O,,,2,,,,,,,
P15,KPR,,I/O,,,2,,,,,,,
P16,KPR,,I/O,,,2,,,,,,,
P17,KPR,,I/O,,,2,,,,,,,
P18,KPR,,I/O,,,2,,,,,,,
P19,KPR,,I/O,,,1,,,,,,,
P20,KPR,,I/O,,,1,,,,,,,
P21,KPR,,I/O,,,1,,,,,,,
P22,KPR,,I/O,,,1,,,,,,,
P23,KPR,,I/O,,,1,,,,,,,
P24,KPR,,I/O,,,1,,,,,,,
P25,KPR,,I/O,,,1,,,,,,,
P26,KPR,,I/O,,,1,,,,,,,
P27,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P28,KPR,,I/O,,,1,,,,,,,
P29,GND,,GND,,,,,,,,,,
P30,KPR,,I/O/GCK0,,,1,,,,,,,
P31,KPR,,I/O,,,1,,,,,,,
P32,KPR,,I/O/GCK1,,,1,,,,,,,
P33,Seg2<7>,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P34,Seg2<6>,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P35,Seg2<5>,O,I/O/CDR,OUTPUT,LVCMOS33,1,,FAST,,,,
P36,GND,,GND,,,,,,,,,,
P37,,VCC,VCC,,,,,,,,,,
P38,clk,GCK,I/O/GCK2,,LVCMOS33,1,,FAST,,,,
P39,Seg2<4>,O,I/O/DGE0,OUTPUT,LVCMOS33,1,,FAST,,,,
P40,Seg2<3>,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P41,Seg2<2>,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P42,Seg2<1>,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P43,Seg2<0>,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P44,KPR,,I/O,,,1,,,,,,,
P45,KPR,,I/O,,,1,,,,,,,
P46,KPR,,I/O,,,1,,,,,,,
P47,GND,,GND,,,,,,,,,,
P48,KPR,,I/O,,,1,,,,,,,
P49,KPR,,I/O,,,1,,,,,,,
P50,KPR,,I/O,,,1,,,,,,,
P51,KPR,,I/O,,,1,,,,,,,
P52,KPR,,I/O,,,1,,,,,,,
P53,KPR,,I/O,,,1,,,,,,,
P54,KPR,,I/O,,,1,,,,,,,
P55,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P56,KPR,,I/O,,,1,,,,,,,
P57,KPR,,I/O,,,1,,,,,,,
P58,KPR,,I/O,,,1,,,,,,,
P59,KPR,,I/O,,,1,,,,,,,
